ep 	k               	err         
159	7.370612542516  	0.000629983981
160	7.370612542516  	0.000625946055
161	7.444318667941  	0.000622042679
162	7.444318667941  	0.000618233705
163	7.444318667941  	0.000614556122
164	7.444318667941  	0.000611007297
165	7.518761854621  	0.000607584795
166	7.518761854621  	0.000604253920
167	7.518761854621  	0.000601047493
168	7.518761854621  	0.000597963557
169	7.593949473167  	0.000595000319
170	7.593949473167  	0.000592128242
171	7.593949473167  	0.000589376107
172	7.593949473167  	0.000586742537
173	7.669888967898  	0.000584226297
174	7.669888967898  	0.000581802833
175	7.669888967898  	0.000579496950
176	7.669888967898  	0.000577307785
177	7.746587857577  	0.000575234600
178	7.746587857577  	0.000573257760
179	7.746587857577  	0.000571398099
180	7.746587857577  	0.000569655226
181	7.824053736153  	0.000568028868
